 4.02242947e-01  4.02242947e-01 
 4.54736186e-01  4.54736186e-01 
 3.68768066e-01  3.68768066e-01 
 4.71967883e-01  4.71967883e-01 
 5.36554081e-01  5.36554081e-01 
 4.54014673e-01  4.54014673e-01 
 4.60658266e-01  4.60658266e-01 
 4.84635833e-01  4.84635833e-01 
 4.98691129e-01  4.98691129e-01 
 4.49845619e-01  4.49845619e-01 
 4.28931916e-01  4.28931916e-01 
 4.25921446e-01  4.25921446e-01 
 4.93405276e-01  4.93405276e-01 
 4.97598649e-01  4.97598649e-01 
 5.19535638e-01  5.19535638e-01 
 4.68551980e-01  4.68551980e-01 
 4.74311150e-01  4.74311150e-01 
 4.60144519e-01  4.60144519e-01 
 4.68000954e-01  4.68000954e-01 
 4.60956178e-01  4.60956178e-01 
 4.32230130e-01  4.32230130e-01 
 5.16912274e-01  5.16912274e-01 
 4.30901063e-01  4.30901063e-01 
 4.95605892e-01  4.95605892e-01 
 5.03629396e-01  5.03629396e-01 
 4.71767719e-01  4.71767719e-01 
 4.22896766e-01  4.22896766e-01 
 4.15728455e-01  4.15728455e-01 
 5.01561247e-01  5.01561247e-01 
 5.21809454e-01  5.21809454e-01 
 4.59234723e-01  4.59234723e-01 
 4.93154744e-01  4.93154744e-01 
 4.31040663e-01  4.31040663e-01 
 5.03519006e-01  5.03519006e-01 
 4.71361482e-01  4.71361482e-01 
 5.47094920e-01  5.47094920e-01 
 5.12292330e-01  5.12292330e-01 
 4.60804282e-01  4.60804282e-01 
 4.16808844e-01  4.16808844e-01 
 4.31047694e-01  4.31047694e-01 
 4.93684970e-01  4.93684970e-01 
 4.43629812e-01  4.43629812e-01 
 5.30002792e-01  5.30002792e-01 
 4.60003505e-01  4.60003505e-01 
 4.72276597e-01  4.72276597e-01 
 4.48152852e-01  4.48152852e-01 
 4.35755328e-01  4.35755328e-01 
 4.48430517e-01  4.48430517e-01 
 4.64708445e-01  4.64708445e-01 
 5.00547783e-01  5.00547783e-01 
 3.60970390e-01  3.60970390e-01 
 4.33714782e-01  4.33714782e-01 
 5.30025935e-01  5.30025935e-01 
 4.54167001e-01  4.54167001e-01 
 4.42786073e-01  4.42786073e-01 
 4.14963162e-01  4.14963162e-01 
 4.33666957e-01  4.33666957e-01 
 4.46958437e-01  4.46958437e-01 
 5.18303946e-01  5.18303946e-01 
 4.30598092e-01  4.30598092e-01 
 4.52337188e-01  4.52337188e-01 
 4.87635802e-01  4.87635802e-01 
 4.70942225e-01  4.70942225e-01 
 4.36183992e-01  4.36183992e-01 
 4.84727424e-01  4.84727424e-01 
 4.07546928e-01  4.07546928e-01 
 4.89300853e-01  4.89300853e-01 
 4.37065723e-01  4.37065723e-01 
 4.93078138e-01  4.93078138e-01 
 4.44078045e-01  4.44078045e-01 
 4.97201047e-01  4.97201047e-01 
 4.76607905e-01  4.76607905e-01 
 4.56282785e-01  4.56282785e-01 
 4.49040119e-01  4.49040119e-01 
 5.57790801e-01  5.57790801e-01 
 4.73756212e-01  4.73756212e-01 
 3.79592149e-01  3.79592149e-01 
 4.39664933e-01  4.39664933e-01 
 5.11016509e-01  5.11016509e-01 
 4.77848901e-01  4.77848901e-01 
 3.90880771e-01  3.90880771e-01 
 5.20295565e-01  5.20295565e-01 
 4.69518305e-01  4.69518305e-01 
 4.15708723e-01  4.15708723e-01 
 5.33761995e-01  5.33761995e-01 
 4.97150843e-01  4.97150843e-01 
 4.41627633e-01  4.41627633e-01 
 4.70553933e-01  4.70553933e-01 
 4.52790446e-01  4.52790446e-01 
 4.69939253e-01  4.69939253e-01 
 4.21799863e-01  4.21799863e-01 
 4.81599225e-01  4.81599225e-01 
 4.61901026e-01  4.61901026e-01 
 4.74224120e-01  4.74224120e-01 
 4.82563442e-01  4.82563442e-01 
 4.95250137e-01  4.95250137e-01 
 4.63918409e-01  4.63918409e-01 
 4.79481902e-01  4.79481902e-01 
 5.01700038e-01  5.01700038e-01 
 4.48550254e-01  4.48550254e-01 
 4.70786277e-01  4.70786277e-01 
 4.35250860e-01  4.35250860e-01 
 4.63530811e-01  4.63530811e-01 
 4.51910363e-01  4.51910363e-01 
 4.18159552e-01  4.18159552e-01 
 4.43356119e-01  4.43356119e-01 
 4.29584316e-01  4.29584316e-01 
 4.32704259e-01  4.32704259e-01 
 4.94336555e-01  4.94336555e-01 
 4.95876197e-01  4.95876197e-01 
 4.34270971e-01  4.34270971e-01 
 4.68882159e-01  4.68882159e-01 
 4.30534742e-01  4.30534742e-01 
 3.99654376e-01  3.99654376e-01 
 4.65261717e-01  4.65261717e-01 
 4.45452893e-01  4.45452893e-01 
 4.61307293e-01  4.61307293e-01 
 4.66598384e-01  4.66598384e-01 
 5.18253175e-01  5.18253175e-01 
 4.47825014e-01  4.47825014e-01 
 4.36957454e-01  4.36957454e-01 
 4.24598958e-01  4.24598958e-01 
 4.63250004e-01  4.63250004e-01 
 4.49706467e-01  4.49706467e-01 
 4.66240366e-01  4.66240366e-01 
 4.36299414e-01  4.36299414e-01 
 4.91792034e-01  4.91792034e-01 
 4.76016341e-01  4.76016341e-01 
 4.16785957e-01  4.16785957e-01 
 5.34656132e-01  5.34656132e-01 
 4.31974178e-01  4.31974178e-01 
 4.02392891e-01  4.02392891e-01 
 4.01100501e-01  4.01100501e-01 
 4.33466395e-01  4.33466395e-01 
 4.80050336e-01  4.80050336e-01 
 4.45395786e-01  4.45395786e-01 
 4.62301129e-01  4.62301129e-01 
 5.23005568e-01  5.23005568e-01 
 4.49963574e-01  4.49963574e-01 
 4.41342580e-01  4.41342580e-01 
 4.59590981e-01  4.59590981e-01 
 4.48008088e-01  4.48008088e-01 
 4.41790324e-01  4.41790324e-01 
 4.91746650e-01  4.91746650e-01 
 4.43257770e-01  4.43257770e-01 
 4.69546782e-01  4.69546782e-01 
 4.24137803e-01  4.24137803e-01 
 4.67633480e-01  4.67633480e-01 
 5.39532717e-01  5.39532717e-01 
 4.23559727e-01  4.23559727e-01 
 4.19352007e-01  4.19352007e-01 
 5.31839092e-01  5.31839092e-01 
 4.03359536e-01  4.03359536e-01 
 4.61175761e-01  4.61175761e-01 
 4.28888176e-01  4.28888176e-01 
 5.04085555e-01  5.04085555e-01 
 4.25745958e-01  4.25745958e-01 
 4.71333018e-01  4.71333018e-01 
 3.49462119e-01  3.49462119e-01 
 4.18479164e-01  4.18479164e-01 
 4.86079813e-01  4.86079813e-01 
 4.75620392e-01  4.75620392e-01 
 4.22819387e-01  4.22819387e-01 
 4.41395590e-01  4.41395590e-01 
 4.53524169e-01  4.53524169e-01 
 3.97819617e-01  3.97819617e-01 
 4.43157572e-01  4.43157572e-01 
 4.79620697e-01  4.79620697e-01 
 4.52873611e-01  4.52873611e-01 
 4.11539757e-01  4.11539757e-01 
 4.52367913e-01  4.52367913e-01 
 4.35132151e-01  4.35132151e-01 
 3.91111193e-01  3.91111193e-01 
 4.89316938e-01  4.89316938e-01 
 4.60429592e-01  4.60429592e-01 
 3.92429568e-01  3.92429568e-01 
 4.68148496e-01  4.68148496e-01 
 4.19441202e-01  4.19441202e-01 
